"North American Industry Classification System (NAICS)4","2017"
"Construction",971.66
"Manufacturing",933.72
"Trade 7",628.20
"Transportation and warehousing",973.40
"Information and cultural industries",1225.86
"Finance and insurance",1055.13
"Professional, scientific and technical services",1159.18
"Administrative and support, waste management and remediation services",642.11
"Educational services",1062.36
"Health care and social assistance",868.42
"Arts, entertainment and recreation",560.36
"Accommodation and food services",366.18
"Other services (except public administration)",690.41
"Public administration",1137.99
"Average",865.96
